"grande_regiao","idade_da_mae_na_ocasiao_do_parto","ano","mes_do_nascimento","sexo","hospital","domicilio"
"Norte","Menos de 15 anos",2003,"Janeiro","Homens",84,"6"
"Norte","Menos de 15 anos",2003,"Janeiro","Mulheres",113,"8"
"Norte","Menos de 15 anos",2003,"Fevereiro","Homens",90,"6"
"Norte","Menos de 15 anos",2003,"Fevereiro","Mulheres",90,"4"
"Norte","Menos de 15 anos",2003,"Março","Homens",124,"16"
"Norte","Menos de 15 anos",2003,"Março","Mulheres",96,"6"
"Norte","Menos de 15 anos",2003,"Abril","Homens",94,"8"
"Norte","Menos de 15 anos",2003,"Abril","Mulheres",91,"7"
"Norte","Menos de 15 anos",2003,"Maio","Homens",117,"11"
"Norte","Menos de 15 anos",2003,"Maio","Mulheres",104,"5"
"Norte","Menos de 15 anos",2003,"Junho","Homens",98,"9"
"Norte","Menos de 15 anos",2003,"Junho","Mulheres",93,"9"
"Norte","Menos de 15 anos",2003,"Julho","Homens",111,"8"
"Norte","Menos de 15 anos",2003,"Julho","Mulheres",108,"8"
"Norte","Menos de 15 anos",2003,"Agosto","Homens",119,"4"
"Norte","Menos de 15 anos",2003,"Agosto","Mulheres",98,"8"
"Norte","Menos de 15 anos",2003,"Setembro","Homens",77,"9"
"Norte","Menos de 15 anos",2003,"Setembro","Mulheres",88,"6"
"Norte","Menos de 15 anos",2003,"Outubro","Homens",74,"6"
"Norte","Menos de 15 anos",2003,"Outubro","Mulheres",90,"4"
"Norte","Menos de 15 anos",2003,"Novembro","Homens",82,"3"
"Norte","Menos de 15 anos",2003,"Novembro","Mulheres",76,"6"
"Norte","Menos de 15 anos",2003,"Dezembro","Homens",72,"4"
"Norte","Menos de 15 anos",2003,"Dezembro","Mulheres",63,"4"
"Norte","Menos de 15 anos",2003,"Janeiro","Homens",103,"7"
"Norte","Menos de 15 anos",2003,"Janeiro","Mulheres",114,"6"
"Norte","Menos de 15 anos",2003,"Fevereiro","Homens",95,"8"
"Norte","Menos de 15 anos",2003,"Fevereiro","Mulheres",89,"10"
"Norte","Menos de 15 anos",2003,"Março","Homens",114,"4"
"Norte","Menos de 15 anos",2003,"Março","Mulheres",101,"6"
