"X","ano","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","GR"
1,2003,21791,19117,22186,21145,21790,19849,20235,19327,19122,17634,16305,14856,"Norte"
2,2004,21830,20017,21697,20831,21185,19644,19544,19160,18797,17704,16787,15064,"Norte"
3,2005,22665,20481,24394,23387,24019,22298,21227,21211,20823,19491,17538,16581,"Norte"
4,2006,22775,20320,23545,22877,23114,21817,21038,21033,21125,21057,18607,17224,"Norte"
5,2007,24598,21796,24270,22574,22794,22076,22016,21863,21110,20340,18260,17691,"Norte"
6,2008,22780,20983,23687,23686,23917,22507,22407,22353,22827,22120,19885,19912,"Norte"
7,2009,24338,21459,24786,23492,22623,21858,21834,21961,22792,21680,19839,19101,"Norte"
8,2010,23851,21462,24422,23234,22896,21640,21854,21582,22463,21540,19273,17958,"Norte"
9,2011,23170,21133,24064,23696,24704,23275,22934,23293,22665,22991,22066,20794,"Norte"
10,2012,24967,22716,24518,23803,24203,22663,22980,23294,22691,23107,21545,21182,"Norte"
11,2013,24579,22248,24648,24934,25437,23698,23835,23408,24337,24037,21973,21174,"Norte"
12,2014,24579,22796,25392,25427,26112,24268,25505,24987,25447,24921,23574,23093,"Norte"
13,2015,25946,23314,25782,25556,25520,24198,24411,24654,25176,24780,23326,22635,"Norte"
14,2016,24975,23481,24759,24546,24670,23784,23649,23886,23968,22997,21288,21063,"Norte"
15,2017,23920,21830,25594,24486,25765,24755,24364,24587,24739,24586,23100,22055,"Norte"
16,2003,73933,68439,79672,75015,77681,72640,72151,68040,66074,61512,56754,54622,"Nordeste"
17,2004,69840,67545,77726,76598,77360,70840,69511,67084,65841,61849,56553,54347,"Nordeste"
18,2005,71582,66990,80969,78025,81971,76210,74279,71525,70256,67094,59970,57493,"Nordeste"
19,2006,68834,64919,77934,75112,78828,73070,70920,69048,67650,66438,59922,57081,"Nordeste"
20,2007,68737,63512,79192,74063,77007,71720,70839,67894,65763,63325,58757,59092,"Nordeste"
21,2008,69072,65368,74810,73993,76073,71186,72357,69230,68546,66578,59865,61362,"Nordeste"
22,2009,70021,64169,78703,74108,73114,68871,66691,64943,66379,63080,58919,57698,"Nordeste"
23,2010,65775,62375,75606,71580,73175,67851,68912,66938,67451,64016,58125,56397,"Nordeste"
24,2011,64209,61913,74954,72325,77754,72397,68875,65818,65713,63797,61292,59368,"Nordeste"
25,2012,66290,64379,72780,69113,72250,66646,67131,64399,63835,64048,61027,60219,"Nordeste"
26,2013,66025,60663,69942,69671,73530,67917,68653,65681,66142,63285,57857,57883,"Nordeste"
27,2014,63608,61686,69486,71081,73354,67603,69715,66916,68718,66541,62423,62425,"Nordeste"
28,2015,67634,62776,75035,72055,74258,70204,70739,67493,70180,67839,62159,61698,"Nordeste"
29,2016,64708,63268,72857,71293,74055,69522,69089,64252,61611,58459,53437,54541,"Nordeste"
30,2017,60339,57922,70183,68900,74683,70425,68921,68281,66174,66292,63252,62718,"Nordeste"
31,2003,97201,97065,107407,106880,106155,100332,99305,93667,93496,90288,84088,89219,"Sudeste"
32,2004,101325,98077,108600,103659,105557,98932,96575,93996,93595,89782,86867,88308,"Sudeste"
