"ano","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","UF"
"2003",2142,1866,2385,2343,2323,2184,2199,2171,2231,2143,1985,1951," Rondônia"
"2004",2177,2078,2190,2107,2250,2150,2139,2097,2096,2001,2084,1899," Rondônia"
"2005",2059,2162,2477,2361,2371,2227,2153,2220,2173,2118,2021,1876," Rondônia"
"2006",1999,1924,2275,2264,2376,2195,1921,1955,2196,2194,2124,1975," Rondônia"
"2007",2331,2141,2417,2210,2232,2065,2108,2038,2001,2011,1848,1669," Rondônia"
"2008",2024,1874,2295,2096,2144,2070,2071,2118,2132,2105,1962,2086," Rondônia"
"2009",2222,2077,2379,2258,1961,1949,2048,2080,2137,2088,1821,1827," Rondônia"
"2010",1910,1764,2195,1994,2227,2069,2177,2075,2099,2209,2021,2023," Rondônia"
"2011",2098,2019,2351,2299,2117,1966,1919,2042,1942,2021,1996,1918," Rondônia"
"2012",2121,2126,2258,2185,2218,2190,2157,2001,1993,2270,2175,2141," Rondônia"
"2013",2244,2059,2160,2316,2345,2091,2022,1977,2089,2047,2108,2137," Rondônia"
"2014",2279,2093,2306,2307,2398,2227,2398,2248,2270,2372,2309,2114," Rondônia"
"2015",2224,2095,2348,2386,2149,1941,2068,2348,2414,2334,2269,2345," Rondônia"
"2016",2161,2111,2295,2303,2306,2233,2147,2082,2308,2174,2041,2112," Rondônia"
"2017",2115,2070,2452,2383,2487,2457,2297,2318,2299,2389,2317,2216," Rondônia"
"2003",1295,1111,1306,1306,1367,1190,1143,1110,1025,957,888,811," Acre"
"2004",1314,1220,1275,1311,1341,1218,1219,1101,1036,1016,946,791," Acre"
"2005",1255,1226,1562,1433,1506,1341,1183,1257,1211,1178,1006,840," Acre"
"2006",1200,1168,1314,1381,1448,1285,1185,1192,1144,1133,1021,970," Acre"
"2007",1366,1379,1464,1315,1306,1246,1227,1228,1138,1011,944,895," Acre"
"2008",1252,1329,1416,1399,1416,1312,1221,1244,1226,1123,1057,1078," Acre"
"2009",1315,1260,1425,1317,1331,1217,1166,1139,1163,1104,989,914," Acre"
"2010",1224,1108,1266,1342,1251,1167,1157,1109,1035,810,848,874," Acre"
"2011",1263,1197,1335,1315,1502,1278,1247,1214,1146,1193,1048,991," Acre"
"2012",1362,1188,1392,1256,1287,1219,1229,1099,1202,1223,1155,1063," Acre"
"2013",1296,1204,1323,1219,1348,1193,1285,1286,1285,1297,1114,1093," Acre"
"2014",1340,1236,1345,1289,1469,1268,1383,1328,1274,1285,1230,1270," Acre"
"2015",1322,1299,1484,1387,1433,1328,1262,1251,1195,1223,1273,1151," Acre"
"2016",1222,1313,1271,1342,1283,1210,1219,1203,1277,1173,1064,1034," Acre"
"2017",1288,1202,1450,1335,1455,1297,1323,1242,1281,1286,1203,1168," Acre"
"2003",4686,4071,4782,4436,4310,3919,4074,3951,3983,3543,3402,3007," Amazonas"
"2004",4847,4476,4701,4032,4306,3868,3825,3990,3958,3656,3372,2960," Amazonas"
"2005",5479,4799,5688,5034,5243,4781,4586,4406,4365,3960,3776,3760," Amazonas"
"2006",5291,4600,5003,4890,4623,4509,4239,4487,4603,4700,3826,3422," Amazonas"
"2007",5561,5082,5651,4940,4917,4885,4805,4916,4818,4642,4086,3975," Amazonas"
"2008",4986,4654,5264,5341,5501,5009,5126,5190,5433,5129,4580,4698," Amazonas"
"2009",5753,5098,5868,5300,5124,5158,5175,5272,5748,5375,4859,4650," Amazonas"
"2010",5875,5413,5799,5495,5175,4787,4721,4818,5259,5117,4660,4194," Amazonas"
"2011",5469,4950,5589,5602,5695,5434,5482,5606,5495,5645,5433,5162," Amazonas"
"2012",6306,5941,5965,5660,5804,5527,5497,5941,5668,5651,5158,5245," Amazonas"
"2013",6228,5647,6196,5995,6150,5772,5908,5792,6072,5971,5611,5371," Amazonas"
"2014",6379,5754,6505,6190,6509,6183,6230,6322,6303,6351,5949,5894," Amazonas"
"2015",6575,5836,6303,6224,6273,5908,6141,6190,6233,6143,5787,5739," Amazonas"
"2016",6472,5898,6163,5856,5953,5664,5849,6016,5905,5763,5534,5593," Amazonas"
"2017",6181,5632,6210,5968,6255,6115,5953,6003,6177,6260,5718,5486," Amazonas"
"2003",665,618,584,602,653,586,607,610,595,583,542,430," Roraima"
"2004",693,642,724,679,680,593,617,618,663,717,630,613," Roraima"
"2005",716,604,667,689,692,575,549,568,514,472,439,426," Roraima"
"2006",684,630,707,599,675,623,570,617,638,600,592,544," Roraima"
"2007",757,686,752,657,657,657,635,661,687,702,630,597," Roraima"
"2008",746,680,721,683,726,771,723,689,802,739,679,641," Roraima"
"2009",816,652,886,711,708,668,683,719,728,746,624,542," Roraima"
"2010",746,652,755,700,666,676,711,699,718,763,631,612," Roraima"
"2011",785,642,697,731,750,681,713,676,745,755,716,747," Roraima"
"2012",816,703,766,723,786,640,710,701,680,737,769,702," Roraima"
"2013",836,739,847,792,791,800,729,702,718,802,750,687," Roraima"
"2014",817,762,815,780,880,773,764,774,827,806,831,685," Roraima"
"2015",838,734,793,768,806,771,774,727,798,825,716,677," Roraima"
"2016",864,804,815,739,803,749,760,834,862,854,751,756," Roraima"
