codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A627,01/05/2019,18,30.5,31.0,29.5,58,61,52,21.2,21.8,19.1,1012.0,1012.4,1012.0,1.3,157,3.8,1846.,0.0
A627,01/05/2019,10,22.2,22.2,21.6,86,88,86,19.7,19.8,19.5,1016.0,1016.1,1015.7,0.9,48,2.4,61.44,0.0
A627,01/05/2019,17,29.8,30.7,28.9,53,63,51,19.1,21.4,19.0,1012.4,1013.2,1012.3,1.4,249,4.4,2361.,0.0
A627,01/05/2019,06,23.1,23.2,22.2,81,86,80,19.5,19.9,19.5,1014.9,1015.2,1014.8,0.9,63,2.8,-3.60,0.0
A627,01/05/2019,00,24.9,24.9,24.7,72,73,72,19.5,19.8,19.5,1016.2,1016.2,1016.0,2.4,72,6.4,-3.56,0.0
A627,01/05/2019,23,26.0,26.7,26.0,78,78,75,21.9,22.1,21.8,1013.2,1013.2,1012.9,0.9,117,3.9,-3.60,0.0
A627,01/05/2019,02,24.6,24.7,24.6,74,74,73,19.6,19.7,19.5,1015.8,1016.2,1015.8,2.6,76,8.3,-3.60,0.0
A627,01/05/2019,14,27.5,27.5,26.4,69,73,67,21.4,21.6,20.3,1015.3,1016.1,1015.3,1.8,306,4.3,2435.,0.0
A627,01/05/2019,09,21.7,22.7,21.6,88,88,83,19.6,19.7,19.5,1015.7,1015.7,1015.2,0.9,64,2.7,-3.60,0.0
A627,01/05/2019,16,28.9,29.3,28.1,63,66,61,21.2,21.5,20.5,1013.2,1014.0,1013.2,1.8,251,4.1,2081.,0.0
A627,01/05/2019,03,24.2,24.6,24.2,76,76,74,19.8,19.8,19.5,1015.9,1016.0,1015.8,1.3,62,6.8,-3.60,0.0
A627,01/05/2019,07,22.8,23.1,22.8,82,83,80,19.6,19.7,19.5,1014.9,1015.0,1014.8,1.3,78,2.9,-3.60,0.0
A627,01/05/2019,13,26.4,27.5,26.0,73,73,65,21.1,21.1,19.7,1016.0,1016.2,1016.0,2.1,248,4.3,2132.,0.0
A627,01/05/2019,15,28.2,28.6,27.0,66,73,62,21.2,21.9,20.6,1014.0,1015.3,1014.0,1.2,287,3.9,2315.,0.0
A627,01/05/2019,04,23.9,24.2,23.4,76,81,76,19.5,20.0,19.5,1015.6,1015.9,1015.5,1.0,65,3.5,-3.60,0.0
A627,01/05/2019,08,22.7,22.8,22.6,83,83,82,19.5,19.7,19.5,1015.2,1015.2,1014.9,1.3,87,3.2,-3.60,0.0
A627,01/05/2019,05,22.6,24.2,22.6,83,83,74,19.6,19.7,19.3,1015.2,1015.6,1015.2,0.6,6,2.6,-3.60,0.0
A627,01/05/2019,22,26.6,27.4,26.6,76,77,71,22.0,22.2,21.7,1012.9,1012.9,1012.6,1.2,45,2.4,-3.60,0.0
A627,01/05/2019,12,26.0,26.0,24.4,70,76,69,20.1,20.3,19.5,1016.1,1016.3,1016.1,1.3,65,3.6,1274.,0.0
A627,01/05/2019,20,28.6,29.6,28.6,66,66,60,21.5,21.5,20.9,1012.4,1012.4,1012.0,0.8,82,4.1,226.1,0.0
A627,01/05/2019,01,24.7,25.0,24.7,73,73,71,19.6,19.6,19.3,1016.2,1016.3,1016.0,2.4,62,8.4,-3.23,0.0
A627,01/05/2019,11,24.5,24.5,22.2,75,86,75,19.8,20.0,19.6,1016.2,1016.4,1015.9,1.4,70,3.3,699.2,0.0
A627,01/05/2019,21,27.4,28.6,27.4,71,71,66,21.7,21.8,21.4,1012.6,1012.6,1012.4,0.9,98,3.1,24.07,0.0
A627,01/05/2019,19,29.5,30.5,29.1,60,61,57,20.9,21.2,20.6,1012.1,1012.1,1012.0,1.7,162,4.0,664.3,0.0
A627,02/05/2019,08,23.5,24.0,23.5,91,91,89,22.0,22.2,22.0,1011.9,1012.0,1011.7,0.3,66,1.7,-3.52,0.0
A627,02/05/2019,12,24.9,24.9,24.4,87,88,86,22.5,22.6,22.1,1014.1,1014.1,1013.6,0.6,320,2.5,569.5,0.0
A627,02/05/2019,13,25.8,25.9,24.8,83,87,83,22.7,22.9,22.4,1014.3,1014.3,1014.1,1.0,312,2.3,741.4,0.0
A627,02/05/2019,00,25.6,26.0,25.5,79,80,78,21.7,21.9,21.7,1013.2,1013.2,1013.1,1.4,81,4.1,-3.60,0.0
A627,02/05/2019,04,23.3,23.7,23.2,91,91,89,21.8,21.8,21.7,1012.6,1012.8,1012.5,0.2,347,1.2,-3.60,0.0
A627,02/05/2019,23,26.0,26.4,26.0,83,83,81,22.8,23.0,22.8,1014.2,1014.2,1013.2,1.3,90,2.3,-3.60,0.0
A627,02/05/2019,01,24.8,25.6,24.5,84,85,79,21.9,21.9,21.7,1013.0,1013.3,1013.0,0.7,71,3.6,-3.60,0.0
A627,02/05/2019,03,23.7,24.2,23.6,89,90,87,21.8,21.9,21.7,1012.8,1013.0,1012.7,0.4,200,1.2,-3.60,0.0
A627,02/05/2019,02,24.2,25.0,24.0,87,87,83,21.9,21.9,21.6,1013.0,1013.1,1012.9,0.4,276,2.3,-3.60,0.0
A627,02/05/2019,11,24.4,24.5,23.7,87,90,87,22.1,22.3,21.9,1013.6,1013.6,1013.0,0.4,16,2.1,399.4,0.0
A627,02/05/2019,06,23.7,23.8,22.9,89,92,89,21.8,22.0,21.5,1011.8,1012.3,1011.8,0.7,44,1.5,-3.20,0.0
A627,02/05/2019,21,26.9,27.5,26.9,80,80,78,23.1,23.3,23.1,1012.5,1012.5,1011.9,1.3,167,2.7,22.50,0.0
A627,02/05/2019,09,23.3,23.5,23.3,92,92,91,21.9,22.1,21.9,1012.4,1012.4,1011.9,0.6,59,2.3,-3.60,0.0
A627,02/05/2019,20,27.1,28.2,27.1,79,80,75,23.2,23.6,23.0,1011.9,1011.9,1011.7,0.7,324,2.3,280.0,0.0
A627,02/05/2019,19,27.9,29.8,27.9,77,77,65,23.5,23.6,22.6,1011.8,1011.9,1011.4,1.1,315,3.5,642.8,0.0
A627,02/05/2019,18,29.7,30.3,28.5,65,70,65,22.5,23.2,22.3,1011.4,1012.0,1011.3,1.5,68,3.4,1646.,0.0
A627,02/05/2019,05,23.0,23.3,23.0,92,92,90,21.6,21.8,21.6,1012.3,1012.6,1012.3,0.2,283,1.4,-3.60,0.0
A627,02/05/2019,17,29.0,29.2,28.1,69,73,68,22.7,23.1,22.5,1012.0,1012.7,1012.0,1.6,187,5.6,1456.,0.0
A627,02/05/2019,16,28.7,29.0,27.6,70,76,69,22.7,23.5,22.6,1012.7,1013.4,1012.7,2.4,209,5.6,1917.,0.0
A627,02/05/2019,15,27.6,28.5,26.2,75,81,73,22.7,23.5,22.4,1013.3,1013.9,1013.3,0.8,308,2.6,1810.,0.0
A627,02/05/2019,07,23.9,24.0,23.5,89,91,89,22.0,22.1,21.8,1011.7,1011.9,1011.6,0.7,116,2.0,-3.49,0.0
A627,02/05/2019,22,26.4,26.9,26.4,81,82,80,23.0,23.2,23.0,1013.2,1013.2,1012.5,1.0,132,2.7,-3.60,0.0
A627,02/05/2019,14,26.6,26.8,25.7,79,84,79,22.6,23.0,22.5,1013.9,1014.3,1013.8,1.2,291,3.5,1351.,0.0
A627,02/05/2019,10,23.7,23.7,23.2,90,92,90,22.0,22.0,21.7,1013.0,1013.0,1012.4,0.8,84,1.5,93.67,0.0
A627,03/05/2019,08,23.3,24.0,23.3,93,93,89,22.0,22.2,22.0,1012.6,1012.7,1012.2,0.2,68,1.3,-3.60,0.0
A627,03/05/2019,03,24.6,24.9,24.3,86,89,85,22.2,22.4,22.1,1014.2,1014.4,1014.2,0.4,136,1.2,-3.60,0.0
A627,03/05/2019,09,23.0,23.3,23.0,94,94,92,21.9,22.0,21.9,1013.0,1013.0,1012.6,0.4,64,0.8,-3.60,0.0
A627,03/05/2019,23,28.0,28.4,28.0,78,78,76,23.7,24.0,23.7,1014.7,1014.7,1014.2,0.9,105,4.7,-3.60,0.0
A627,03/05/2019,22,28.4,28.9,28.4,77,77,73,24.0,24.1,23.6,1014.3,1014.3,1013.3,1.2,71,3.8,-3.60,0.0
A627,03/05/2019,21,28.9,29.8,28.9,73,73,69,23.6,23.8,23.4,1013.3,1013.3,1012.8,0.5,54,3.1,23.22,0.0
A627,03/05/2019,20,29.8,31.0,29.8,69,71,65,23.5,24.1,23.5,1012.8,1012.8,1012.4,1.4,184,4.4,230.4,0.0
A627,03/05/2019,19,31.0,31.7,31.0,65,,,23.6,,,1012.6,1012.8,1012.5,1.4,164,4.2,959.0,0.0
A627,03/05/2019,18,31.3,32.2,31.0,60,60,56,22.4,23.1,21.9,1012.8,1013.0,1012.7,1.2,310,3.7,1763.,0.0
A627,03/05/2019,17,31.8,32.1,30.3,58,66,58,22.5,,,1012.9,1013.8,1012.9,1.3,314,3.5,2154.,0.0
A627,03/05/2019,15,29.6,30.1,28.7,69,72,68,23.3,23.9,22.9,1014.7,1015.5,1014.7,1.4,305,3.1,2451.,0.0
A627,03/05/2019,14,28.8,28.8,27.5,72,78,71,23.2,23.6,22.7,1015.5,1016.0,1015.4,1.1,333,3.7,2254.,0.0
A627,03/05/2019,13,28.1,28.5,26.5,73,78,71,22.8,23.3,22.2,1015.8,1015.9,1015.5,1.3,302,3.0,1734.,0.0
A627,03/05/2019,12,26.7,27.0,25.5,78,83,78,22.5,23.0,22.3,1015.5,1015.5,1014.8,0.8,7,2.6,1154.,0.0
A627,03/05/2019,11,25.5,25.7,23.6,82,92,82,22.2,22.6,22.2,1014.8,1014.8,1014.0,0.5,44,2.3,498.5,0.0
A627,03/05/2019,16,30.7,31.2,29.6,62,69,61,22.6,23.7,22.3,1013.8,1014.7,1013.8,1.4,287,3.1,2558.,0.0
A627,03/05/2019,10,23.6,23.6,22.9,92,94,92,22.3,22.3,21.8,1014.0,1014.0,1013.0,0.3,65,1.8,77.92,0.0
A627,03/05/2019,05,23.6,24.2,23.5,91,91,88,22.1,22.2,22.0,1013.3,1013.7,1013.3,0.2,275,1.4,-3.60,0.0
A627,03/05/2019,02,24.5,25.6,24.4,88,88,82,22.4,22.4,22.1,1014.4,1014.4,1014.2,0.3,309,2.6,-3.60,0.0
A627,03/05/2019,04,24.1,24.9,24.1,88,89,84,22.1,22.2,21.8,1013.7,1014.2,1013.7,0.5,112,1.5,-3.60,0.0
A627,03/05/2019,01,25.5,25.9,25.5,83,83,82,22.4,22.7,22.4,1014.3,1014.6,1014.3,0.7,71,2.4,-3.60,0.0
A627,03/05/2019,00,25.9,26.1,25.9,83,83,82,22.7,22.9,22.7,1014.4,1014.5,1014.2,0.8,11,2.6,-3.58,0.0
A627,03/05/2019,07,24.0,24.2,23.9,90,90,88,22.2,22.3,22.0,1012.5,1012.7,1012.5,0.5,96,1.8,-3.51,0.0
A627,03/05/2019,06,24.2,24.3,23.6,88,91,88,22.1,22.3,22.1,1012.6,1013.3,1012.6,0.6,153,2.6,-3.60,0.0
A627,04/05/2019,00,27.4,28.0,27.4,81,81,78,23.8,23.8,23.7,1015.0,1015.0,1014.7,0.9,57,2.7,-3.60,0.0
A627,04/05/2019,21,29.2,30.2,29.2,70,70,66,23.2,23.2,23.0,1014.6,1014.6,1014.2,0.7,178,3.0,25.18,0.0
A627,04/05/2019,23,28.0,28.7,27.9,77,78,74,23.7,23.9,23.6,1016.2,1016.2,1015.5,0.9,128,3.1,-3.60,0.0
A627,04/05/2019,04,25.3,25.7,25.3,90,90,89,23.6,23.8,23.5,1015.4,1015.8,1015.4,0.5,71,1.8,-3.60,0.0
A627,04/05/2019,03,25.7,26.3,25.6,89,89,85,23.7,23.8,23.6,1015.8,1015.9,1015.7,0.8,84,1.8,-3.60,0.0
A627,04/05/2019,09,24.1,24.2,24.0,94,94,94,23.0,23.2,23.0,1015.5,1015.5,1014.8,0.2,42,1.7,-3.60,0.0
A627,04/05/2019,05,25.4,25.7,25.2,89,91,88,23.4,23.8,23.4,1014.9,1015.4,1014.9,0.6,49,1.9,-3.60,0.0
A627,04/05/2019,06,24.6,25.4,24.6,93,93,89,23.4,23.4,23.3,1014.5,1014.9,1014.5,0.2,215,1.4,-3.60,0.0
A627,04/05/2019,07,24.4,24.8,24.4,93,93,92,23.2,23.5,23.2,1014.5,1014.5,1014.4,0.3,65,1.2,-3.60,0.0
A627,04/05/2019,08,24.2,24.4,24.2,94,94,93,23.1,23.2,23.1,1014.8,1014.9,1014.5,0.3,216,0.7,-3.60,0.0
A627,04/05/2019,10,24.3,24.3,24.0,93,94,93,23.2,23.2,23.0,1015.9,1015.9,1015.5,0.4,50,1.1,52.02,0.0
A627,04/05/2019,11,25.6,25.6,24.3,87,93,87,23.3,23.4,23.0,1016.1,1016.1,1015.8,0.4,68,1.7,460.6,0.0
A627,04/05/2019,12,26.7,26.7,25.6,81,87,81,23.3,23.4,22.8,1016.8,1016.8,1016.1,0.8,70,3.1,1150.,0.0
A627,04/05/2019,13,26.8,27.8,26.7,82,83,77,23.5,24.0,23.0,1017.2,1017.2,1016.8,1.4,297,3.3,1924.,0.0
A627,04/05/2019,16,30.7,31.1,29.4,67,74,65,23.9,24.8,23.0,1014.9,1015.8,1014.9,1.3,318,2.9,2326.,0.0
A627,04/05/2019,17,32.5,32.5,30.6,59,67,59,23.5,24.6,23.1,1014.0,1014.9,1014.0,1.5,303,3.1,2304.,0.0
A627,04/05/2019,14,28.7,28.8,26.6,77,83,76,24.3,24.4,23.4,1016.6,1017.2,1016.6,1.0,311,3.3,2419.,0.0
A627,04/05/2019,15,29.8,30.2,28.4,73,77,72,24.5,24.7,23.7,1015.8,1016.6,1015.8,1.7,310,2.9,2371.,0.0
A627,04/05/2019,18,32.1,33.0,32.0,60,60,54,23.3,23.8,22.1,1013.6,1014.0,1013.5,2.2,185,4.5,1640.,0.0
A627,04/05/2019,19,31.0,32.1,31.0,63,65,60,23.1,,,1013.7,1013.7,1013.5,1.4,121,4.7,790.7,0.0
A627,04/05/2019,01,26.9,27.4,26.9,83,83,81,23.8,23.8,23.7,1015.6,1015.6,1015.0,0.8,77,4.1,-3.60,0.0
A627,04/05/2019,02,26.2,26.9,25.8,86,88,83,23.6,23.8,23.6,1015.8,1015.8,1015.5,0.8,81,1.9,-3.60,0.0
A627,04/05/2019,20,30.2,31.1,30.1,67,67,60,23.3,23.5,22.3,1014.2,1014.2,1013.7,1.2,197,4.3,323.8,0.0
A627,04/05/2019,22,28.7,29.2,28.6,74,74,70,23.7,23.7,23.1,1015.5,1015.5,1014.6,0.8,61,2.3,-3.60,0.0
A627,05/05/2019,16,31.1,31.2,29.5,59,66,57,22.0,22.9,21.0,1016.5,1017.4,1016.5,1.9,205,4.3,2137.,0.0
A627,05/05/2019,17,30.8,32.0,30.4,57,59,54,21.3,22.0,21.0,1015.5,1016.5,1015.5,1.9,176,4.6,2255.,0.0
A627,05/05/2019,18,31.2,31.9,30.6,60,62,54,22.6,22.8,21.2,1015.1,1015.5,1015.1,2.4,185,5.9,1661.,0.0
A627,05/05/2019,19,29.5,31.2,29.5,67,67,60,22.6,23.1,22.2,1015.2,1015.3,1015.0,1.1,132,5.4,844.5,0.0
A627,05/05/2019,23,26.4,26.9,26.4,73,74,73,21.1,21.8,21.1,1016.5,1016.6,1016.4,2.6,66,6.9,-3.60,0.0
A627,05/05/2019,22,26.9,27.7,26.9,74,74,72,21.8,22.6,21.8,1016.4,1016.4,1015.8,2.7,76,6.9,-3.60,0.0
A627,05/05/2019,00,27.3,28.0,27.3,79,79,77,23.3,23.6,23.3,1016.9,1016.9,1016.2,1.1,97,3.7,-3.60,0.0
A627,05/05/2019,01,26.3,27.3,26.2,83,84,79,23.2,23.4,23.1,1017.1,1017.1,1016.9,0.7,97,2.2,-3.60,0.0
A627,05/05/2019,02,25.6,26.4,25.6,86,86,83,23.0,23.2,23.0,1017.7,1017.7,1017.1,0.6,300,1.7,-3.60,0.0
A627,05/05/2019,21,27.6,28.4,27.6,74,75,71,22.6,22.8,22.5,1015.8,1015.8,1015.5,1.5,58,4.3,32.16,0.0
A627,05/05/2019,03,26.1,26.2,25.7,82,86,82,22.7,23.1,22.7,1017.0,1017.7,1017.0,1.2,92,4.2,-3.60,0.0
A627,05/05/2019,04,25.6,26.1,25.6,83,83,82,22.5,22.7,22.5,1016.5,1017.0,1016.5,1.7,82,4.2,-3.60,0.0
A627,05/05/2019,05,25.6,25.6,25.3,83,84,83,22.5,22.5,22.4,1016.2,1016.5,1016.2,1.1,75,3.4,-2.90,0.0
A627,05/05/2019,06,25.6,25.7,25.4,83,84,82,22.5,22.6,22.4,1016.3,1016.3,1016.2,0.9,167,3.2,-2.10,0.0
A627,05/05/2019,07,25.5,25.7,25.4,83,83,82,22.3,22.5,22.2,1016.2,1016.4,1016.2,0.5,226,2.3,-1.20,0.0
A627,05/05/2019,08,25.2,25.6,25.2,83,85,82,22.1,22.5,22.1,1016.1,1016.2,1016.1,0.5,133,2.0,-2.79,0.0
A627,05/05/2019,09,24.8,25.2,24.5,84,87,83,22.0,22.4,22.0,1016.7,1016.7,1016.1,0.6,51,1.5,-3.13,0.0
A627,05/05/2019,10,24.6,24.8,24.6,83,85,82,21.6,22.1,21.4,1017.5,1017.5,1016.7,1.3,85,3.3,57.79,0.0
A627,05/05/2019,11,26.5,26.5,24.6,77,83,76,22.2,22.2,21.5,1018.2,1018.2,1017.5,0.4,121,3.6,588.0,0.0
A627,05/05/2019,14,29.3,29.3,27.1,72,78,72,23.8,23.9,22.8,1018.3,1018.9,1018.3,1.5,317,3.2,1734.,0.0
