Munic;Regiao;COD IBGE;COD IBGE2;Gini;Agua;Banheiro;Lixo;Energia;Densidade;Esperancadevida;Mortalidade_infantil;Prob_sobrevivencia;IDH;IDH_Renda;IDH_Longevidade;IDH_Educacao;Probab_sobrev60;TFT;Taxa_envelhecimento;Taxa_analfabetismo;frequencia_liquida_EM;Expectativa_anos_de_estudo;frequencia_liquida_Superior;perc_com_2_anos_de_de_atraso;Renda_per_capita;Renda_per_capita_nula;Perc_pobres;Perc_extremamente_pobres;Populacao;ISS
Angra dos Reis (RJ);Costa Verde;330010;3300100;0,5;92,49;95,45;99,26;99,77;34,42;75,75;12,97;92,99;0,724;0,74;0,846;0,605;83,19;2,1;5,22;6,27;48,56;9;7,26;24,94;798,68;799,89;6,69;3,54;169511;68.586.847
Aperibé (RJ);Noroeste Fluminense;330015;3300159;0,43;96,84;99,52;97,07;100;19,54;72,1;18,4;90,41;0,692;0,67;0,785;0,631;77,85;1,7;10,13;12,59;50,95;8,95;14,19;24,57;516,14;516,81;9,4;3,83;10213;573.003
Araruama (RJ);Baixadas Litorâneas ;330020;3300209;0,54;96,08;94,42;95,64;99,75;31,84;75,32;14,18;92,84;0,718;0,714;0,839;0,617;82,88;2,2;9,51;8,99;49,53;8,84;9,18;26,9;680,88;682,92;11,6;6,98;112008;
Areal (RJ);Centro-Sul Fluminense   ;330022;3300225;0,48;85,66;98,2;98,57;99,61;28,13;74,35;15;92,06;0,684;0,686;0,823;0,566;81,22;1,81;8,15;9,18;37,88;9,21;8,69;27,69;571,74;573,12;11,13;7,87;11423;2.408.993
Armação dos Búzios (RJ);Baixadas Litorâneas ;330023;3300233;0,51;83,53;96,31;98,55;100;26,64;74,44;14,8;92,12;0,728;0,75;0,824;0,624;81,36;1,8;5,28;5,57;40,78;9,09;8,66;23,23;851,39;851,39;3,69;0,11;27560;9.224.832
Arraial do Cabo (RJ);Baixadas Litorâneas ;330025;3300258;0,47;93,91;93,31;99,79;100;32,89;73,31;16,5;91,31;0,733;0,722;0,805;0,677;79,68;1,9;8,48;5,53;55,22;9,49;9,62;21,84;714,47;715,77;6,93;2,55;27715;
Barra do Piraí (RJ);Médio Paraíba        ;330030;3300308;0,51;94,55;96,72;98,9;99,74;24,64;74,14;15,3;91,91;0,733;0,723;0,819;0,665;80,92;1,73;9,09;5,38;51,09;9,15;11,21;24,48;719,16;719,24;8,48;4,63;94778;10.646.408
Barra Mansa (RJ);Médio Paraíba        ;330040;3300407;0,48;96,83;98,83;99,51;99,95;22,95;74,14;14,91;91,84;0,729;0,72;0,819;0,657;80,77;1,77;8,08;4,8;52,44;9,42;14,15;19,95;705,1;705,21;5,94;2,93;177813;22.795.663
Belford Roxo (RJ);Metropolitana           ;330045;3300456;0,42;94,35;88,53;88,07;99,89;43,96;73,5;16,54;92,58;0,684;0,662;0,808;0,598;80,94;2,08;6,18;6,07;44,7;8,88;5,34;24,93;491,51;492,92;11,55;5,16;469332;24.045.656
Bom Jardim (RJ);Serrana                 ;330050;3300506;0,48;84,01;98,05;99,47;99,97;19,76;73,56;16,1;91,5;0,66;0,707;0,809;0,503;80,05;1,86;8,94;13,04;32,95;8,25;5,99;29,71;649,62;655,3;8,43;3,43;25333;3.405.329
