OBJECTID;UNIDADE_ID;CNES;P_OTIMO;P_BOM;P_REGULAR;P_INSUFICIENTE;cod_Bairro;Equipes;Data_Inauguracao;TP_UNIDADE;Flg_UPP;gestao;Long;Lat;LatLong;info
8978;3,30E+12;2270323;0.25;0.75;0.01;0.01;Inhoaíba;5;1985-11-30T00:00:00.000Z;CMS;Não;descentralizada;-43,60131269;-22,92379127;-22.92379127:-43.60131269;Otimo 0.25<BR>Bom 0.75<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 5<BR>Gestao descentralizada
9007;3,30E+12;6632831;0.01;0.01;1;0.01;Leme;2;2010-12-28T00:00:00.000Z;CMS;Sim;centralizada;-43,17119081;-22,95968896;-22.95968896:-43.17119081;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 2<BR>Gestao centralizada
9009;3,30E+12;2273616;0.01;0.01;1;0.01;Paciência;4;2000-07-31T00:00:00.000Z;CMS;Não;descentralizada;-43,62838914;-22,8735241;-22.8735241:-43.62838914;Otimo 0.01<BR>Bom 0.01<BR>Regular 1<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9010;3,30E+12;3567508;0.01;0.666;0.333;0.01;Curicica;4;2001-01-08T00:00:00.000Z;CMS;Não;descentralizada;-43,39225422;-22,9542821;-22.9542821:-43.39225422;Otimo 0.01<BR>Bom 0.666<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9011;3,30E+12;2708183;0.01;1;0.01;0.01;Santa Cruz;4;1988-08-05T00:00:00.000Z;CMS;Não;descentralizada;-43,65665196;-22,91334296;-22.91334296:-43.65665196;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9013;3,30E+12;2270072;0.01;0.5;0.5;0.01;Rocinha;6;2011-01-20T00:00:00.000Z;CMS;Sim;centralizada;-43,2451642;-22,98595117;-22.98595117:-43.2451642;Otimo 0.01<BR>Bom 0.5<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 6<BR>Gestao centralizada
9015;3,30E+12;2269546;0.166;0.5;0.333;0.01;Campo Grande;4;1987-06-26T00:00:00.000Z;CMS;Não;descentralizada;-43,55863136;-22,87496803;-22.87496803:-43.55863136;Otimo 0.166<BR>Bom 0.5<BR>Regular 0.333<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
9017;3,30E+12;5044685;0.01;1;0.01;0.01;Irajá;7;2010-12-02T00:00:00.000Z;CMS;Não;centralizada;-43,3378507;-22,82572776;-22.82572776:-43.3378507;Otimo 0.01<BR>Bom 1<BR>Regular 0.01<BR>Insuficiente 0.01<BR>Equipes 7<BR>Gestao centralizada
9019;3,30E+12;2273586;0.285;0.428;0.142;0.142;Paciência;7;1988-09-19T00:00:00.000Z;CMS;Não;descentralizada;-43,62511839;-22,9239974;-22.9239974:-43.62511839;Otimo 0.285<BR>Bom 0.428<BR>Regular 0.142<BR>Insuficiente 0.142<BR>Equipes 7<BR>Gestao descentralizada
9024;3,30E+12;2269759;0.5;0.01;0.5;0.01;Parque Anchieta;4;2001-11-30T00:00:00.000Z;CMS;Não;descentralizada;-43,41398295;-22,83194321;-22.83194321:-43.41398295;Otimo 0.5<BR>Bom 0.01<BR>Regular 0.5<BR>Insuficiente 0.01<BR>Equipes 4<BR>Gestao descentralizada
